"","Name","TigerWoods","PrizeMoney","AveDrivingDistance","DrivingAccuracy","GIR","PuttingAverage","BirdieConversion","SandSaves","Scrambling","BounceBack","PuttsPerRound","lnPrize"
"44","Daisuke Maruyama",0,38275,284.5,71.75,66.24,1.783,28.5,44.88,57.5,17.78,29.23,10.5525522205259
"27","Bubba Dickerson",0,20322,298.8,62.81,65.63,1.777,29.89,49.67,53.03,22.95,29.32,9.91945932204583
"5","Arjun Atwal",0,16683,287.7,63.24,64.04,1.761,29.32,52.44,57.07,18.21,28.93,9.72214551585567
"185","Tom Lehman",0,84604,286.6,60.96,65.93,1.827,24.37,39.36,54.89,16.48,30.08,11.3457368258005
"109","Kent Jones",0,26899,287.1,67.95,65.46,1.762,29.54,52.87,55.89,18.63,29.2,10.1998443901777
"4","Alex Cejka",0,17516,288.8,66.4,67.7,1.777,29.33,45.13,54.82,17.05,29.46,9.77087002792129
"28","Bubba Watson",0,37751,319.6,51.5,66.74,1.797,30.66,42.97,58.35,22.48,29.56,10.5387672443925
"30","Carl Pettersson",0,94571,286.6,61.01,62.31,1.776,29.62,53.05,58.95,24.14,28.84,11.4571061541315
"47","Darron Stiles",0,10504,287.7,68.23,69.67,1.789,27.17,50.72,60.37,19.67,29.67,9.25951141598263
"88","Jerry Smith",0,19594,277.9,69.66,66.55,1.78,28.79,58.59,60.11,16.86,29.35,9.88297867590459
"182","Tjaart van der Walt",0,11187,282.7,69.69,64.52,1.808,25.45,46.67,62.91,18.71,29.42,9.32250766884693
"81","Jason Schultz",0,5265,293.1,59.43,63.19,1.808,27.73,46.09,56.54,16.67,29.45,8.56883642456808
"110","Kevin Sutherland",0,25918,293.5,64.52,68.29,1.796,27.15,52.99,60.58,21.31,29.5,10.1626929869954
"8","Ben Crane",0,57273,285.8,63.51,62.01,1.736,32.28,45.6,56.49,19.59,28.46,10.9555845874628
"144","Rich Beem",0,24379,295.6,63.24,66.2,1.787,29.25,44.87,53.66,20.16,29.6,10.1014773849668
"36","Chris Couch",0,50249,299.7,60.98,66.15,1.793,30.53,33.91,49.02,19.69,29.83,10.8247459252258
"95","John Cook",0,29296,277,70.65,66.33,1.789,27.07,46.07,60.59,18.68,29.31,10.2852062669143
